copy,weight,gender
abi,1,?
alexandra,1,?
angel,1,?
aubrey,2,?
bathsua,1,?
bigoe,1,?
christian,2,?
corry,1,?
darkess,1,?
jordan,1,?
josceline,1,?
julian,1,?
meltiah,1,?
rabinett,1,?
scepter,1,?
shubal,1,?
zoe,1,?
abigail,1,f
adelaide,1,f
adeline,1,f
agnes,2,f
agness,1,f
alathea,1,f
albertina,1,f
albinia,6,f
alethea,1,f
aletheia,1,f
alexandrina,2,f
alexandrine,1,f
alice,1,f
alicia,2,f
alida,1,f
almeria,2,f
alured,1,f
amabel,2,f
amelia,5,f
amy,1,f
anabella,1,f
anastacia,1,f
anastasia,4,f
anastatia,1,f
anchoretta,1,f
angela,3,f
angelica,2,f
angelina,4,f
angelique,1,f
ann,1,f
anna,9,f
annabella,1,f
anne,6,f
annette,1,f
annice,1,f
annsi,1,f
anstace,1,f
antoinette,3,f
apollonia,2,f
apolonia,1,f
arabella,9,f
araminta,1,f
ariana,1,f
armandine,1,f
arnolda,1,f
arundel,1,f
aseneth,1,f
atholl,1,f
audrey,1,f
augusta,4,f
aurea,1,f
barbara,2,f
basetta,1,f
basilia,1,f
beatrice,2,f
beatrix,2,f
belinda,3,f
bella,1,f
bethia,1,f
betsey,1,f
betsy,1,f
bettia,1,f
betty,1,f
beulah,1,f
bridget,4,f
byzantia,1,f
camerona,1,f
camilla,5,f
cara,1,f
carolina,4,f
caroline,6,f
carteret,1,f
cassandra,6,f
catharina,2,f
catharine,2,f
catherine,3,f
cecilia,1,f
celia,1,f
charity,4,f
charlotte,12,f
charlotte-florentia,1,f
chatwynd,1,f
christabella,1,f
christiana,1,f
christina,1,f
christobella,1,f
clara,2,f
clare,1,f
clarinda,1,f
clarisa,1,f
clarissa,3,f
claudia,1,f
clementina,3,f
clotilda,1,f
colina,1,f
constantia,3,f
corantine,1,f
corbetta,1,f
cordelia,3,f
corisande,1,f
cornelia,5,f
dalilah,1,f
deborah,5,f
delphine,1,f
diana,3,f
dianna,2,f
dina,1,f
dinah,2,f
dionysia,1,f
dolly,1,f
dora,3,f
dorcas,1,f
dorothea,2,f
dorothy,2,f
dorriel,1,f
dulcibella,2,f
dymphna,2,f
edwina,1,f
eglantine,1,f
ela,1,f
eleanor,2,f
eleanora,3,f
eleonora,2,f
elisa,1,f
elisabeth,1,f
eliza,3,f
elizabeth,17,f
ellen,2,f
ellinor,1,f
eloisa,1,f
emelia,1,f
emilia,1,f
emily,8,f
emma,5,f
emmeline,1,f
esau,1,f
ester,1,f
esther,6,f
eudoxia,1,f
euphan,1,f
euphemia,1,f
euphmia,1,f
euphonia,1,f
eustacia,1,f
fanny,4,f
felicia,3,f
felicite,3,f
felizarda,1,f
fiducia,1,f
flora,2,f
florence,1,f
florentina,1,f
floretta,1,f
florinda,2,f
francelina,2,f
frances,10,f
francina,1,f
francisca,1,f
frederica,2,f
gabriella,1,f
georgiana,3,f
georgina,1,f
georgine,1,f
geraldina,1,f
geraldine,1,f
gertrude,2,f
gloriana,1,f
glynne,1,f
grace,2,f
griselda,1,f
gwenllian,1,f
hamilla,1,f
hannah,7,f
harriet,3,f
harriett,1,f
harriette,1,f
harriot,3,f
harriott,1,f
helena,3,f
helenora,2,f
heneage,1,f
hennora,1,f
henrietta,8,f
henriette,1,f
hersey,1,f
hester,2,f
honora,1,f
honoria,3,f
horace,1,f
horatia,1,f
hugh,1,f
hyacinth,1,f
hyacinthe,2,f
ianthe,1,f
indiana,1,f
irene,1,f
isabella,2,f
isabilla,1,f
isett,1,f
issobelle,1,f
izett,1,f
jacintha,2,f
jacobina,3,f
jacomina,1,f
jacquetta,3,f
jamima,1,f
jane,3,f
janet,3,f
jannette,1,f
jean,1,f
jeannette,1,f
jemima,3,f
jennet,1,f
jenny,1,f
jessie,1,f
jessy,2,f
jestina,1,f
joanna,3,f
johanna,1,f
josephina,1,f
josette,1,f
joyce,1,f
judith,2,f
julia,1,f
julian,2,f
juliana,2,f
juliet,1,f
julines,1,f
justina,1,f
karenhappuch,1,f
katharine,2,f
katherine,5,f
kezia,1,f
kimbery,1,f
kythe,1,f
laetitia,3,f
laura,7,f
laure,1,f
lavinia,6,f
lelia,1,f
lena,1,f
Leonora,1,f
leontina,1,f
letitia,1,f
lilias,2,f
lindsay,1,f
livia,1,f
lora,1,f
louisa,8,f
love,1,f
loveday,1,f
lucia,1,f
lucie,1,f
lucinda,7,f
lucrectia,1,f
lucretia,1,f
lucy,5,f
ludivina,1,f
lydia,4,f
mabella,2,f
madeleine,1,f
madelina,2,f
madeline,3,f
magdalen,1,f
mallet,3,f
malvina,1,f
mangalina,1,f
marcella,3,f
marcia,5,f
margaret,3,f
margaretta,3,f
marguerite,1,f
maria,12,f
mariana,1,f
marianna,3,f
marianne,3,f
marie,2,f
marie alexandrine,1,f
marinda,1,f
martha,6,f
mary,24,f
mary anne,1,f
marya,1,f
mathew,1,f
mathewana,1,f
matilda,4,f
matty,1,f
melesina,2,f
melina,1,f
meliora,2,f
melosina,1,f
mercia,1,f
meredith,1,f
meriah,1,f
meryel,1,f
millicent,3,f
mirabella,1,f
miranda,1,f
monica,3,f
nanny,2,f
naria/marena,1,f
nichola,1,f
nicola,1,f
octavia,2,f
olive,1,f
olivia,3,f
olympia,1,f
pamela,1,f
patience,5,f
patricia,2,f
paulina,2,f
penelope,2,f
peniel,1,f
persiana,1,f
phebe,1,f
phila,1,f
philadelphia,2,f
philippa,1,f
phillippa,1,f
phillis,2,f
phoebe,4,f
pissillo,1,f
pleasance,2,f
polyjena,1,f
polyxene,1,f
popley,1,f
primrose,2,f
priscilla,3,f
prudence,3,f
prudentia,1,f
pyne,1,f
rachael,1,f
rafela,1,f
rebeckah,1,f
renea,1,f
reynoldia,1,f
rhoda,3,f
richarda,1,f
robiniana,1,f
rosa,2,f
rosabelle,1,f
rosalinda,2,f
rosamond,1,f
rosamund,3,f
rosanna,2,f
rosannah,2,f
rose,2,f
rosetta,2,f
rosina,1,f
rowena,2,f
rowenia,1,f
sabine,2,f
salisbury,1,f
salome,2,f
samia,1,f
sara,2,f
sarah,7,f
saunders,1,f
scanina,1,f
selah,1,f
selina,6,f
semira,1,f
